number,name,status
260,Simplify xrange(),Final
255,Simple Genera,Final
252,Making Types Look More Like Cla,Final
253,Subtyping Built-in T,Final
250,Using site-packages on Window,Final
238,Changing the Division Opera,Final
237,Unifying Long Integers and I,Final
236,Back to the __future__,Final
235,Import on Case-Insensitive Platform,Final
234,Itera,Final
232,Function Attribu,Final
229,Using Distutils to Build P,Final
230,Warning Framework,Final
227,Statically Nested Sc,Final
223,Change the Meaning of \x Esca,Final
221,Import A,Final
218,Adding a Built-In Set Object T,Final
217,Display Hook for Interactive U,Final
208,Reworking the Coercion Model,Final
214,Extended Print Statem,Final
207,Rich Compari,Final
205,Weak Referenc,Final
203,Augmented Assignm,Final
202,List Comprehensi,Final
201,Lockstep Iterati,Final
100,Python Unicode Integrati,Final
737,Unify type name formatti,Draft
735,Dependency Groups in pyproject.toml,Draft
734,Multiple Interpreters in the Stdlib,Draft
733,An Evaluation of Python’s Public C API,Draft
730,Adding iOS as a supported platform,Draft
727,Documentation in Annotated Metadata,Draft
726,Module __setattr__ and __delattr__,Draft
725,Specifying external dependencies in pyproject.toml,Draft
724,Stricter Type Guard,Draft
720,Cross-compiling Python packa,Draft
718,Subscriptable functi,Draft
712,Adding a “converter” parameter to dataclasses.field,Draft
711,PyBI: a standard format for distributing Python Binari,Draft
710,Recording the provenance of installed packa,Draft
705,TypedDict: Read-only item,Draft
696,Type defaults for TypeVarLik,Draft
694,Upload 2.0 API for Python Package Repositori,Draft
679,Allow parentheses in assert statem,Draft
671,Syntax for late-bound function argument defaul,Draft
661,Sentinel Valu,Draft
667,Consistent views of namespac,Draft
659,Specializing Adaptive I,Draft
653,Precise Semantics for Pattern Matchi,Draft
638,Syntactic Mac,Draft
603,Adding a frozenmap type to collecti,Draft
639,Improving License Clarity with Better Package Metadata,Draft
588,GitHub Issues Migration Pla,Draft
480,Surviving a Compromise of PyPI: End-to-end signing of packa,Draft
467,Minor API improvements for binary sequenc,Draft
714,Rename dist-info-metadata in the Simple API,Accepted
703,Making the Global Interpreter Lock Optional in CP,Accepted
700,Additional Fields for the Simple API for Package Index,Accepted
701,Syntactic formalization of f-stri,Accepted
702,Marking deprecations using the type system,Accepted
699,Remove private dict version field added in PEP 509,Accepted
698,Override Decorator for Static Typi,Accepted
695,Type Parameter Syntax,Accepted
692,Using TypedDict for more precise **kwargs typi,Accepted
691,JSON-based Simple API for Python Package Index,Accepted
687,Isolating modules in the standard libra,Accepted
688,Making the buffer protocol accessible in P,Accepted
686,Make UTF-8 mode defaul,Accepted
685,Comparison of extra names for optional distribution dependenci,Accepted
684,A Per-Interpreter GIL,Accepted
683,"Immortal Objects, Using a Fixed Refcou",Accepted
593,Flexible function and variable annotati,Accepted
591,Adding a final qualifier to typi,Accepted
590,Vectorcall: a fast calling protocol for CP,Accepted
589,TypedDict: Type Hints for Dictionaries with a Fixed Set of K,Accepted
586,Literal T,Accepted
578,Python Runtime Audit Hook,Accepted
563,Postponed Evaluation of Annotati,Accepted
560,Core support for typing module and generic,Accepted
544,Protocols: Structural subtyping (static duck typing),Accepted
458,Secure PyPI downloads with signed repository metadata,Accepted
723,Inline script metadata,Provisional
708,Extending the Repository API to Mitigate Dependency Confusion Attack,Provisional
8105,2024 Term Steering Council electi,Active
8104,2023 Term Steering Council electi,Active
8103,2022 Term Steering Council electi,Final
8102,2021 Term Steering Council electi,Final
8101,2020 Term Steering Council electi,Final
8100,January 2019 Steering Council electi,Final
8016,The Steering Council Model,Accepted
8000,Python Language Governance Proposal Overview,Final
8002,Open Source Governance Surv,Final
801,Reserved,Active
3333,Python Web Server Gateway Interface v1.0.1,Final
719,Python 3.13 Release Schedul,Active
693,Python 3.12 Release Schedul,Active
619,Python 3.10 Release Schedul,Active
672,Unicode-related Security Considerations for P,Active
664,Python 3.11 Release Schedul,Active
636,Structural Pattern Matching: Tutorial,Final
635,Structural Pattern Matching: Motivation and Rational,Final
596,Python 3.9 Release Schedul,Active
630,Isolating Extension Modul,Final
607,Reducing CPython’s Feature Delivery Latenc,Final
602,Annual Release Cycle for P,Accepted
579,Refactoring C functions and method,Final
569,Python 3.8 Release Schedul,Active
514,Python registration in the Windows regi,Active
483,The Theory of Type Hi,Final
482,Literature Overview for Type Hi,Final
457,Notation For Positional-Only Param,Final
452,API for Cryptographic Hash Functions v2.0,Final
434,IDLE Enhancement Exception for All Branc,Active
430,Migrating to Python 3 as the default online documentati,Final
399,Pure Python/C Accelerator Module Compatibility Requirem,Final
394,The “python” Command on Unix-Like System,Active
333,Python Web Server Gateway Interface v1.0,Final
291,Backward Compatibility for the Python 2 Standard Libra,Final
290,Code Migration and Modernizati,Active
287,reStructuredText Docstring Forma,Active
272,API for Block Encryption Algorithms v1.0,Final
257,Docstring Conventi,Active
249,Python Database API Specification v2.0,Final
248,Python Database API Specification v1.0,Final
247,API for Cryptographic Hash Functi,Final
101,Doing Python Releases 101,Active
20,The Zen of P,Active
732,The Python Documentation Editorial Board,Active
731,C API Working Group Cha,Active
729,Typing governance proc,Active
676,PEP Infrastructure Proc,Active
581,Using GitHub Issues for CP,Accepted
609,Python Packaging Authority (PyPA) Governanc,Active
387,Backwards Compatibility Polic,Active
13,Python Language Governanc,Active
12,Sample reStructuredText PEP Templa,Active
11,CPython platform su,Active
10,Voting Guideli,Active
8,Style Guide for Python Cod,Active
7,Style Guide for C Cod,Active
4,Deprecation of Standard Modul,Active
2,Procedure for Adding New Modul,Active
